system,query_id,latency_seconds,latency_p90_seconds,mrr,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20
TF-IDF,Q094,0.006886208000651095,0.007349641603650525,0.125,0.0,0.0,0.0,0.1,0.3333333333333333,0.1480409554829326,0.05,0.3333333333333333,0.1480409554829326
TF-IDF,Q095,0.007003999999142252,0.007139183799154125,0.5,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.1,0.6666666666666666,0.4269839011340625
TF-IDF,Q096,0.006784666999010369,0.0068724584009032695,0.3333333333333333,0.2,0.3333333333333333,0.23463936301137822,0.1,0.3333333333333333,0.23463936301137822,0.05,0.3333333333333333,0.23463936301137822
TF-IDF,Q097,0.0066969170002266765,0.007154741600970738,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q098,0.007253832998685539,0.007823541399557144,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q099,0.0069117499951971695,0.006943766602489632,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q100,0.007125833995814901,0.007269692199770361,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3333333333333333,0.12681701683239352
TF-IDF,Q101,0.006826625001849607,0.006920066999737173,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q102,0.007361500000115484,0.007465074602805544,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q103,0.006966624998312909,0.007090474797587376,0.5,0.4,0.6666666666666666,0.49818925746641285,0.2,0.6666666666666666,0.49818925746641285,0.15,1.0,0.6067701305674463
TF-IDF,Q104,0.007042666999041103,0.007159816798230167,0.3333333333333333,0.4,0.25,0.3156484524795145,0.2,0.25,0.23540784400158446,0.1,0.25,0.23540784400158446
TF-IDF,Q105,0.0072398750053253025,0.0076055248035117986,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14285714285714285,0.07428207290250749
TF-IDF,Q106,0.006756458002200816,0.006856458599213511,0.3333333333333333,0.2,0.043478260869565216,0.16958010263680806,0.4,0.17391304347826086,0.32542886242602714,0.35,0.30434782608695654,0.3111725981593914
TF-IDF,Q107,0.006875958002638072,0.007679408202238847,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q108,0.0067897500048275106,0.006793866798398085,0.2,0.2,0.2,0.13120507751234178,0.1,0.2,0.13120507751234178,0.15,0.6,0.28975661118351526
TF-IDF,Q109,0.006754042005923111,0.006761482798901852,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q110,0.007482791996153537,0.009228574998269323,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q111,0.006672165996860713,0.007215033799002413,0.5,0.4,0.6666666666666666,0.5307212739772434,0.3,1.0,0.6719882468370725,0.15,1.0,0.6719882468370725
TF-IDF,Q112,0.006862624999484979,0.007107850200554822,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.17939639802506838
TF-IDF,Q113,0.006663708001724444,0.006873716400878038,0.3333333333333333,0.2,0.2,0.16958010263680806,0.1,0.2,0.16958010263680806,0.05,0.2,0.16958010263680806
TF-IDF,Q114,0.0070985409984132275,0.011916283400205431,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q115,0.006949542002985254,0.007395191796240397,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q116,0.00669499999639811,0.007127283401496242,0.5,0.4,0.4,0.36005461457723403,0.2,0.4,0.36005461457723403,0.1,0.4,0.36005461457723403
TF-IDF,Q117,0.007224707995192148,0.007572066798456944,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q118,0.006476208996900823,0.006582883204100653,0.5,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.1,0.6666666666666666,0.40862079976133286
TF-IDF,Q119,0.006745250000676606,0.006922666399623268,0.3333333333333333,0.2,0.3333333333333333,0.23463936301137822,0.1,0.3333333333333333,0.23463936301137822,0.05,0.3333333333333333,0.23463936301137822
TF-IDF,Q120,0.006872332996863406,0.007114275197091046,0.5,0.6,0.3333333333333333,0.5296347172140421,0.3,0.3333333333333333,0.367048613489692,0.15,0.3333333333333333,0.367048613489692
TF-IDF,Q121,0.006888542004162446,0.006915516399021726,0.3333333333333333,0.2,0.3333333333333333,0.23463936301137822,0.1,0.3333333333333333,0.23463936301137822,0.05,0.3333333333333333,0.23463936301137822
TF-IDF,Q122,0.00682612499804236,0.006922958002542145,0.125,0.0,0.0,0.0,0.1,0.3333333333333333,0.1480409554829326,0.05,0.3333333333333333,0.1480409554829326
TF-IDF,Q123,0.006898166997416411,0.007025183399673551,0.5,0.6,0.42857142857142855,0.5296347172140421,0.4,0.5714285714285714,0.5271615417507156,0.2,0.5714285714285714,0.5271615417507156
TF-IDF,Q124,0.007049125000776257,0.007271783199394121,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q125,0.007113416999345645,0.007551625203632284,0.5,0.4,0.6666666666666666,0.5307212739772434,0.3,1.0,0.6978817289434457,0.15,1.0,0.6978817289434457
TF-IDF,Q126,0.007048792002024129,0.007267408199550118,0.3333333333333333,0.2,0.1111111111111111,0.16958010263680806,0.1,0.1111111111111111,0.11752277470724268,0.1,0.2222222222222222,0.18308707262310742
TF-IDF,Q127,0.006833291998191271,0.007015441403200384,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q128,0.007327999999688473,0.007459025000571273,0.125,0.0,0.0,0.0,0.1,0.25,0.123151194370365,0.05,0.25,0.123151194370365
TF-IDF,Q129,0.0071843749974505045,0.007309183600591495,0.2,0.2,0.25,0.15101961822780524,0.2,0.5,0.2638647595767405,0.1,0.5,0.2638647595767405
TF-IDF,Q130,0.006538374997035135,0.0065575500004342755,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.09460634670666435
TF-IDF,Q131,0.006782041004044004,0.006832241400843486,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-IDF,Q132,0.00696895900182426,0.0071150916017359124,0.1,0.0,0.0,0.0,0.1,0.1111111111111111,0.06794340091829075,0.05,0.1111111111111111,0.06794340091829075
TF-IDF,Q133,0.006846833995950874,0.0070262165972962976,0.2,0.2,0.14285714285714285,0.13120507751234178,0.1,0.14285714285714285,0.10633668103022985,0.05,0.14285714285714285,0.10633668103022985
TF-IDF,Q134,0.006860209003207274,0.007570800201210659,0.1,0.0,0.0,0.0,0.1,0.16666666666666666,0.0874717141014082,0.05,0.16666666666666666,0.0874717141014082
